Sample,predict_label
S118,0
S121,0
S126,0
S127,0
S137,0
S141,0
S143,1
S146,0
S153,0
S155,1
S158,0
S187,0
S193,0
S194,1
S195,1
S198,0
S205,0
S224,0
S225,1
S231,0
S235,0
S244,0
S248,0
S258,1
S263,0
S264,0
S268,0
S269,1
S286,0
S288,0
S297,1
S334,1
S344,0
S353,0
S365,0
S370,0
S378,1
S380,0
S381,0
S389,1
S398,0
S421,0
S422,0
S424,0
S434,0
S436,0
S439,0
S446,1
S451,0
S456,1
S458,0
S462,1
S463,1
S468,0
S470,0
S475,1
S476,0
S478,0
S479,1
S483,1
S484,0
S495,0
S497,1
S517,1
S524,0
S526,0
S529,1
S530,1
S536,1
S53,0
S543,0
S550,0
S551,0
S552,1
S561,1
S563,1
S577,0
S584,0
S587,1
S589,1
S58,1
S591,0
S598,1
S59,1
S602,0
S604,0
S614,1
S617,1
S618,0
S628,1
S643,0
S655,1
S77,0
S80,0
S88,1
S92,0
